id,no_jemb,nama,kec,panjang,lebar,jml_bintang,ba_tipe,lat,long,kondisi
337,19.145.005,Kembatan Kepel III,Kare,2.5,4.03,1,Plat,7.73313,111.67366,2
338,19.147.001,Jembatan Wungu V,Kare,5.28,4.61,1,Gelagar Komposit,7.69284,111.62199,1
339,19.147.002,Jembatan Wungu VI,Kare,3,4.3,1,Gelagar Komposit,7.69521,111.62937,2
340,19.147.003,Jembatan Kresek VII,Kare,34.4,7.42,1,Gelagar dan Pelengkung,7.69936,111.64092,3
341,19.148.001,Jembatan Kare I,Kare,3.4,4.95,1,Plat,7.73277,111.69105,2
342,19.149.001,Jembatan Kare II,Kare,7.6,3.2,1,Gelagar Komposit,7.75727,111.69526,4
343,19.150.001,Jembatan Randualas I,Kare,4,3.35,1,Gelagar,7.70244,111.68383,2
344,19.151.001,Jembatan Tawangrejo V,Gemarang,9.4,3.67,1,Gelagar Komposit,7.65497,111.71003,2
345,19.151.002,Jembatan Morang I,Gemarang,3.75,6.13,1,Plat,7.656,111.70608,2
346,19.152.001,Jembatan Batok III,Gemarang,6.95,6.53,1,Gelagar,7.70224,111.71774,2
347,19.152.002,Jembatan Batok IV,Gemarang,3.5,4.32,1,Plat,7.69533,111.728,2
348,19.152.003,Jembatan Batok V,Gemarang,11.5,4.2,1,Gelagar Komposit,7.69584,111.72983,2
349,19.153.001,Jembatan Durenan I,Gemarang,6.2,4.98,1,Gelagar,7.69913,111.73831,2
350,19.153.002,Jembatan Durenan II,Gemarang,3.25,5.85,1,Plat,7.70181,111.74079,2
351,19.153.003,Jembatan Durenan III,Gemarang,8.7,6.05,1,Gelagar,7.70245,111.74304,2
352,19.153.004,Jembatan Durenan IV,Gemarang,16.67,7.12,1,Gelagar,7.72436,111.73417,2
353,19.154.001,Jembatan Winong I,Gemarang,2.6,4,1,Gelagar,7.66712,111.74965,2
354,19.154.002,Jembatan Gemarang III,Gemarang,5,4.05,1,Gelagar,7.62706,111.75553,2
355,19.154.003,Jembatan Sebayi II,Gemarang,14,3.6,1,Gelagar Komposit,7.61318,111.75,4
356,19.154.004,Jembatan Sebayi III,Gemarang,6.25,4.03,1,Gelagar,7.60968,111.74448,2
357,19.154.005,Jembatan Sebayi IV,Gemarang,16,4.02,1,Gelagar Komposit,7.60863,111.74105,2
358,19.155.001,Jembatan Sebayi V,Gemarang,16.75,6.5,1,Gelagar,7.590168,111.748585,2
359,19.155.002,Jembatan Nampu I,Gemarang,9.4,3.15,1,Gelagar Komposit,7.593905,111.758273,2
360,19.155.003,Jembatan Nampu II,Gemarang,3.3,3.63,1,Plat,7.595147,111.761765,2
361,19.155.004,Jembatan Nampu III,Gemarang,3.3,3.63,1,Plat,7.595085,111.766397,2
362,19.155.005,Jembatan Nampu IV,Gemarang,9.45,6.54,1,Gelagar,7.597647,111.774913,2
363,19.155.006,Jembatan Nampu V,Gemarang,2.45,3,1,Plat,7.600341,111.780928,2
364,19.155.007,Jembatan Nampu VI,Gemarang,2.9,"3,58,",1,Gorong-Gorong Pipa,7.60643,111.784837,2
365,19.155.008,Jembatan Nampu VII,Gemarang,9.8,4.37,1,Gelagar,7.613366,111.785947,2
366,19.155.009,Jembatan Nampu VIII,Gemarang,27.83,3.61,2,Gelagar,7.62021,111.78959,2
367,19.157.001,Jembatan Jatisari I,Geger,14.75,4.1,1,Gelagar,7.7039,111.5314,2
